iter	Passed	Remaining
455	1003	5555
456	1005	5552
457	1007	5549
458	1009	5546
459	1012	5544
460	1013	5540
461	1015	5536
462	1017	5533
463	1020	5531
464	1022	5530
465	1024	5527
466	1026	5523
467	1028	5520
468	1030	5517
469	1032	5514
470	1034	5512
471	1037	5510
472	1038	5506
473	1040	5502
474	1042	5499
475	1044	5497
476	1047	5495
477	1049	5492
478	1051	5490
479	1053	5487
480	1056	5486
481	1057	5482
482	1059	5479
483	1061	5475
484	1063	5471
485	1065	5467
486	1067	5465
487	1069	5462
488	1072	5460
489	1074	5458
490	1076	5455
491	1078	5452
492	1080	5450
493	1082	5449
494	1084	5446
495	1087	5444
496	1088	5440
497	1091	5437
498	1092	5433
499	1094	5430
500	1097	5428
501	1098	5424
502	1100	5421
503	1102	5418
504	1105	5417
505	1107	5414
506	1109	5412
507	1111	5409
508	1113	5405
509	1115	5402
510	1117	5400
511	1120	5398
512	1122	5396
513	1124	5392
514	1126	5390
515	1128	5387
516	1130	5384
517	1132	5383
518	1134	5380
519	1136	5377
520	1138	5375
521	1140	5371
522	1142	5369
523	1144	5366
524	1146	5362
525	1148	5360
526	1151	5357
527	1152	5354
528	1155	5352
529	1157	5349
530	1159	5347
531	1161	5344
532	1163	5342
533	1165	5338
534	1167	5335
535	1169	5333
536	1171	5330
537	1173	5328
538	1175	5324
539	1177	5321
540	1179	5318
541	1182	5317
542	1184	5315
543	1186	5311
544	1188	5309
545	1190	5305
546	1192	5302
547	1194	5299
548	1196	5296
549	1198	5294
550	1200	5291
551	1202	5289
552	1204	5287
553	1207	5286
554	1209	5283
555	1211	5280
556	1213	5279
557	1215	5277
558	1217	5274
559	1219	5270
560	1221	5267
561	1224	5266
562	1225	5262
563	1227	5259
564	1229	5257
565	1232	5255
566	1234	5252
567	1235	5248
568	1237	5245
569	1240	5243
570	1242	5240
571	1244	5238
572	1246	5235
573	1248	5233
574	1250	5231
575	1252	5228
576	1255	5227
577	1257	5224
578	1259	5221
579	1260	5217
580	1263	5215
581	1264	5211
582	1266	5208
583	1268	5206
584	1270	5203
585	1272	5200
586	1275	5198
587	1277	5195
588	1279	5192
589	1280	5188
590	1283	5187
591	1285	5183
592	1286	5180
593	1288	5177
594	1290	5173
595	1292	5171
596	1294	5169
597	1297	5166
598	1299	5163
599	1301	5162
600	1303	5160
601	1305	5158
602	1308	5156
603	1309	5153
604	1311	5149
605	1313	5146
606	1315	5144
607	1317	5141
608	1319	5138
609	1321	5135
610	1324	5134
611	1326	5132
612	1328	5129
613	1330	5127
614	1332	5124
615	1334	5122
616	1336	5119
617	1338	5117
618	1340	5114
619	1343	5112
620	1345	5110
621	1347	5107
622	1349	5105
623	1351	5102
624	1354	5102
625	1356	5100
626	1358	5098
627	1360	5096
628	1363	5095
629	1365	5093
630	1368	5093
631	1370	5091
632	1372	5089
633	1374	5086
634	1376	5084
635	1379	5082
636	1381	5079
637	1383	5077
638	1385	5075
639	1387	5071
640	1389	5069
641	1391	5067
642	1393	5065
643	1395	5062
644	1397	5060
645	1400	5058
646	1402	5056
647	1404	5055
648	1406	5052
649	1409	5051
650	1411	5049
651	1413	5046
652	1415	5044
653	1417	5042
654	1420	5040
655	1422	5038
656	1424	5036
657	1427	5037
658	1429	5035
659	1431	5032
660	1434	5031
661	1436	5028
662	1438	5026
663	1440	5023
664	1442	5021
665	1444	5019
666	1446	5017
667	1448	5014
668	1450	5011
669	1452	5009
670	1454	5006
671	1456	5004
672	1459	5001
673	1461	4999
674	1463	4996
675	1465	4993
676	1467	4990
677	1469	4990
678	1471	4987
679	1473	4985
680	1476	4983
681	1478	4982
682	1480	4979
683	1482	4976
684	1484	4973
685	1486	4971
686	1488	4969
687	1490	4966
688	1493	4964
689	1495	4962
690	1497	4960
691	1499	4958
692	1501	4956
693	1503	4953
694	1506	4951
695	1508	4949
696	1510	4947
697	1512	4945
698	1514	4943
699	1516	4940
700	1519	4938
701	1521	4935
702	1523	4933
703	1525	4931
704	1527	4929
705	1529	4927
706	1531	4925
707	1534	4923
708	1536	4921
709	1538	4920
710	1540	4917
711	1543	4915
712	1545	4914
713	1547	4912
714	1550	4911
715	1554	4913
716	1556	4913
717	1559	4911
718	1561	4909
719	1563	4908
720	1566	4906
721	1568	4904
722	1570	4901
723	1572	4899
724	1574	4898
725	1577	4896
726	1579	4894
727	1581	4892
728	1583	4890
