iter	Logloss
0	0.6885660447
1	0.684019226
2	0.6794752571
3	0.6750219938
4	0.6705853458
5	0.6663358029
6	0.662040194
7	0.6577628081
8	0.6536831359
9	0.6494698704
10	0.6453952752
11	0.6413200548
12	0.6374336017
13	0.6335967132
14	0.6297122906
15	0.6257690617
16	0.6219101557
17	0.6182380562
18	0.6144593065
19	0.610765129
20	0.6071181327
21	0.6035171178
22	0.5999251372
23	0.5963750197
24	0.5928890085
25	0.589477356
26	0.5861942514
27	0.582771216
28	0.5793921708
29	0.5762300032
30	0.5731061552
31	0.5699382438
32	0.566757344
33	0.563746803
34	0.560770763
35	0.557860739
36	0.5550010085
37	0.5521133722
38	0.5492800489
39	0.5463540845
40	0.5435001314
41	0.5406479898
42	0.5378663608
43	0.5350848655
44	0.5323738305
45	0.5297864268
46	0.5271082638
47	0.5244656697
48	0.5220057937
49	0.519427984
50	0.5170925748
51	0.5146562628
52	0.5122541433
53	0.5097892657
54	0.5073606125
55	0.5051112115
56	0.5028185574
57	0.5006714978
58	0.4984431465
59	0.496177474
60	0.4939974548
61	0.4917533213
62	0.4895374851
63	0.487422187
64	0.4854446263
65	0.4833045832
66	0.4811929071
67	0.4791889052
68	0.4771580719
69	0.4752024758
70	0.4731897583
71	0.4712248468
72	0.4692605722
73	0.4673425248
74	0.465553665
75	0.4636754943
76	0.4618945834
77	0.460117752
78	0.4583162862
79	0.4565069943
80	0.4547202716
81	0.4529564488
82	0.4512160397
83	0.4495613689
84	0.4479761599
85	0.4464453694
86	0.4449020829
87	0.4433233139
88	0.4416928855
89	0.4401478347
90	0.4385575193
91	0.4371316323
92	0.4356412808
93	0.4341241804
94	0.4326043796
95	0.4311675705
96	0.4297628949
97	0.4283606609
98	0.4270492076
99	0.4257681961
100	0.4244818364
101	0.4231504054
102	0.4218270782
103	0.4204469444
104	0.4191552339
105	0.4178523192
106	0.4165905826
107	0.4152705055
108	0.4140138397
109	0.4127368585
110	0.4115960593
111	0.4103648572
112	0.4091480725
113	0.4078793738
114	0.4066613691
115	0.4054590056
116	0.4043429324
117	0.403252521
118	0.4021504647
119	0.4009627777
120	0.3998247947
121	0.3987063961
122	0.3975947714
123	0.3964971641
124	0.3955352442
125	0.3943970304
126	0.3933946096
127	0.39228843
128	0.3912513132
129	0.390226426
130	0.3893156166
131	0.3884653059
132	0.3874588609
133	0.3864640501
134	0.3854818557
135	0.3845430097
136	0.3836390691
137	0.3826944595
138	0.3817052816
139	0.3807535484
140	0.3798603171
141	0.378952195
142	0.3782414347
143	0.3773646619
144	0.3764792566
145	0.3757876411
146	0.3749696026
147	0.3740645955
148	0.3733930394
149	0.3725592667
150	0.3718216642
151	0.3711691727
152	0.370302048
153	0.3694878473
154	0.3688542708
155	0.3680123767
156	0.367222724
157	0.3666061329
158	0.3658392543
159	0.3652336506
160	0.3644807688
161	0.3638810766
162	0.3632385347
163	0.3625500878
164	0.3617732171
165	0.3611948746
166	0.3604975022
167	0.3599352004
168	0.359280174
169	0.3585665757
170	0.3578307772
171	0.3571349898
172	0.3564404699
173	0.3558200717
174	0.3552918004
175	0.3546470918
176	0.3541289559
177	0.3536164046
178	0.3531077989
179	0.3524266866
180	0.3517550481
181	0.3512566055
182	0.35064158
183	0.350024678
184	0.3494456899
185	0.3488372551
186	0.3482604387
187	0.3477862037
188	0.3472171378
189	0.3467589083
190	0.3462403142
191	0.3457873833
192	0.3451801665
193	0.3446713917
194	0.3440767301
195	0.3435354546
196	0.3429825191
197	0.3424539611
198	0.342019768
199	0.3415023659
200	0.3410762751
201	0.3405914772
202	0.3401337351
203	0.3397012723
204	0.3391565309
205	0.3387462534
206	0.3382390042
207	0.3378429095
208	0.3373786551
209	0.3368542641
210	0.3364603375
211	0.3360586984
212	0.3356783262
213	0.3351700564
214	0.3347953209
215	0.3343410617
216	0.3339729692
217	0.3335459238
218	0.3331768857
219	0.3327364203
220	0.332293573
221	0.3319402637
222	0.3315108422
223	0.3310838671
224	0.3307612257
225	0.3304111527
226	0.3300877179
227	0.3296934819
228	0.3293008972
229	0.3288959624
230	0.3285667043
231	0.3282190762
232	0.3278842602
233	0.3275530054
234	0.3271607512
235	0.3267545647
236	0.326439758
237	0.326014804
238	0.3256942551
239	0.3253166266
240	0.3249286365
241	0.3246368744
242	0.3243249325
243	0.3239442071
244	0.3235814577
245	0.323209499
246	0.3228029428
247	0.3225027683
248	0.3221148625
249	0.3217744798
250	0.3214306807
251	0.321090434
252	0.3207054053
253	0.3203808033
254	0.3200506611
255	0.3197652486
256	0.3194828721
257	0.319201762
258	0.318924122
259	0.3186180303
260	0.3182946553
261	0.3179664666
262	0.3176170058
263	0.3173018175
264	0.3169960766
265	0.316753901
266	0.3164480884
267	0.3161452246
268	0.3158357157
269	0.3155757912
270	0.3153417608
271	0.3150859382
272	0.3148308616
273	0.3145307062
274	0.3142812575
275	0.3139924475
276	0.3137123926
277	0.3134683762
278	0.3131801824
279	0.3128707473
280	0.312631077
281	0.3124078953
282	0.3121860281
283	0.3119116722
284	0.3116865518
285	0.3114144465
286	0.3111855498
287	0.3109601136
288	0.310701832
289	0.3104563902
290	0.3102301455
291	0.3100203482
292	0.3097625815
293	0.3095555396
294	0.3093010645
295	0.309013672
296	0.3087372175
297	0.3084746818
298	0.3082141839
299	0.3079711435
300	0.3077797757
301	0.3075368914
302	0.3072984416
303	0.3070548249
304	0.3068071148
305	0.3065946517
306	0.3063614558
307	0.3061232401
308	0.3059262781
309	0.3057339863
310	0.3055333494
311	0.3053077574
312	0.3051245703
313	0.3048886695
314	0.3046922027
315	0.3044595975
316	0.3042413342
317	0.3040122595
318	0.3037908774
319	0.3035613102
320	0.3033800212
321	0.3031996363
322	0.3030308209
323	0.3028301443
324	0.3026019786
325	0.302376458
326	0.3021575341
327	0.3019465643
328	0.3017293648
329	0.3015569359
330	0.3013535312
331	0.3011396033
332	0.3009411269
333	0.3007321107
334	0.3005193195
335	0.3003107303
336	0.3001357099
337	0.299930681
338	0.299726243
339	0.2995587426
340	0.2993553712
341	0.2991593393
342	0.2989719548
343	0.2987972476
344	0.2986383432
345	0.2984427635
346	0.298282033
347	0.2980901578
348	0.2978971231
349	0.2977119174
350	0.2975227194
351	0.2973652063
352	0.2971747703
353	0.2970194779
354	0.2968282407
355	0.296651919
356	0.2965030151
357	0.2963498097
358	0.2961663482
359	0.2959902568
360	0.2958202586
361	0.2956519984
362	0.2954935321
363	0.2953160384
364	0.295139203
365	0.2949739974
366	0.2947953075
367	0.2946407541
368	0.2944756519
369	0.2943291486
370	0.2941546425
371	0.2940046731
372	0.2938375605
373	0.2936805437
374	0.2935028036
375	0.2933602631
376	0.2931919834
377	0.2930233262
378	0.2928610801
379	0.2926908762
380	0.2925308982
381	0.292369523
382	0.2922048402
383	0.2920551013
384	0.2919053278
385	0.2917698502
386	0.2916124987
387	0.2914904034
388	0.2913442243
389	0.2912080288
390	0.2910485989
391	0.2909016932
392	0.2907680164
393	0.2906462226
394	0.2905075274
395	0.2903538426
396	0.2902212332
397	0.290071497
398	0.2899360316
399	0.2898011768
400	0.2896705804
401	0.289541266
402	0.2894086575
403	0.2892895299
404	0.2891590396
405	0.2890319688
406	0.2888838729
407	0.2887519331
408	0.2886196436
409	0.2884925516
410	0.2883711073
411	0.2882288735
412	0.2881026876
413	0.2879873204
414	0.2878544844
415	0.287731141
416	0.2876024964
417	0.2874833478
418	0.2873453669
419	0.2872242714
420	0.2870940972
421	0.2869734856
422	0.2868401133
423	0.2867226244
424	0.2865868023
425	0.2864537722
426	0.286328535
427	0.2862101885
428	0.286094405
429	0.2859722805
430	0.2858565748
431	0.2857268192
432	0.2855953243
433	0.2854663942
434	0.2853346547
435	0.285217827
436	0.2851047018
437	0.2849960814
438	0.284889646
439	0.2847630073
440	0.2846509233
441	0.2845410053
442	0.2844286321
443	0.2843191839
444	0.2842102783
445	0.2840952467
446	0.2839875216
447	0.2838612023
448	0.2837385631
449	0.2836376957
450	0.2835388773
451	0.2834348304
452	0.2833353671
453	0.2832299091
454	0.2831247314
455	0.2830216855
456	0.2829002018
457	0.2827981593
458	0.2826898676
459	0.2825866472
460	0.2824880362
461	0.282375076
462	0.2822716749
463	0.2821659753
464	0.2820617276
465	0.2819673187
466	0.2818622112
467	0.2817589364
468	0.2816614323
469	0.281569383
470	0.2814571996
471	0.2813447092
472	0.2812424582
473	0.2811479544
474	0.2810542101
475	0.2809483798
476	0.2808530687
477	0.2807558867
478	0.2806447702
479	0.2805603747
480	0.2804655017
481	0.2803719611
482	0.2802627267
483	0.280156248
484	0.2800661164
485	0.279975817
486	0.2798729055
487	0.2797819478
488	0.2796782707
489	0.2795942636
490	0.2795080778
491	0.2794077607
492	0.2793164369
493	0.2792263432
494	0.2791243642
495	0.2790353279
496	0.2789420771
497	0.2788559764
498	0.2787748436
499	0.2786749577
500	0.2785770325
501	0.2784865024
502	0.2784033702
503	0.2783193033
504	0.2782326555
505	0.2781293826
506	0.2780320821
507	0.2779506735
508	0.2778541569
509	0.2777646417
510	0.2776697361
511	0.2775905707
512	0.2775054083
513	0.2774255308
514	0.2773407738
515	0.2772493341
516	0.2771652584
517	0.2770823572
518	0.2770025548
519	0.2769259594
520	0.2768366079
521	0.2767562579
522	0.2766624675
523	0.27658338
524	0.276506792
525	0.2764264121
526	0.2763339041
527	0.2762534674
528	0.276170753
529	0.2760824425
530	0.2760056875
531	0.2759282344
532	0.2758463983
533	0.2757585689
534	0.2756779791
535	0.2755935977
536	0.2755140176
537	0.2754276802
538	0.2753509908
539	0.2752793969
540	0.2752082572
541	0.2751410793
542	0.2750559552
543	0.2749875543
544	0.2749105722
545	0.2748407826
546	0.2747712295
547	0.2747035866
548	0.2746315727
549	0.2745569513
550	0.2744934862
551	0.2744264502
552	0.2743445438
553	0.2742648353
554	0.2741935614
555	0.2741110793
556	0.2740314619
557	0.2739585077
558	0.2738925085
559	0.273823064
560	0.2737511787
561	0.2736792386
562	0.2736071659
563	0.2735211826
564	0.2734436858
565	0.2733819304
566	0.2733024893
567	0.2732384674
568	0.2731714957
569	0.273101169
570	0.2730254481
571	0.2729484554
572	0.272880947
573	0.272805936
574	0.2727373057
575	0.2726631033
576	0.2725899034
577	0.272521598
578	0.2724509279
579	0.2723894017
580	0.2723206086
581	0.2722603828
582	0.2721961097
583	0.2721297108
584	0.2720680994
585	0.2720126706
586	0.2719545516
587	0.2718951504
588	0.2718213421
589	0.2717637645
590	0.271706874
591	0.271630986
592	0.2715737693
593	0.2715091485
594	0.2714547752
595	0.2713895367
596	0.2713222552
597	0.2712571087
598	0.2711984787
599	0.2711343001
600	0.2710616512
601	0.2709913626
602	0.2709278179
603	0.2708552819
604	0.2708015788
605	0.270748245
606	0.2706913784
607	0.2706366957
608	0.2705807174
609	0.2705154097
610	0.2704526398
611	0.2703922095
612	0.2703359702
613	0.2702713514
614	0.2702097937
615	0.2701490013
616	0.2700964698
617	0.2700292069
618	0.2699712918
619	0.2699124819
620	0.2698602942
621	0.2698102835
622	0.2697446345
623	0.2696950614
624	0.2696354837
625	0.2695769522
626	0.269513676
627	0.2694489449
628	0.2693925787
629	0.2693372361
630	0.2692797189
631	0.2692216935
632	0.2691649014
633	0.2691121052
634	0.2690637375
635	0.2690121357
636	0.2689638996
637	0.2689094752
638	0.268853847
639	0.2687965089
640	0.2687482247
641	0.2686952519
642	0.2686344551
643	0.2685884436
644	0.2685336757
645	0.2684824868
646	0.2684299774
647	0.268377411
648	0.2683278204
649	0.2682825398
650	0.2682376962
651	0.2681919763
652	0.2681465202
653	0.2680986504
654	0.2680465173
655	0.2679923326
656	0.2679328243
657	0.2678813889
658	0.2678366265
659	0.2677786283
660	0.2677263409
661	0.2676750112
662	0.2676289332
663	0.2675823765
664	0.2675202674
665	0.2674686588
666	0.2674174511
667	0.2673597159
668	0.2673113995
669	0.2672682395
670	0.2672261783
671	0.2671778343
672	0.2671288575
673	0.2670877091
674	0.2670454854
675	0.266998171
676	0.2669562296
677	0.266911148
678	0.2668711242
679	0.2668310514
680	0.2667720509
681	0.2667233475
682	0.2666775826
683	0.2666319541
684	0.2665868686
685	0.2665404307
686	0.2664954143
687	0.2664442093
688	0.2663964728
689	0.266350937
690	0.2663036929
691	0.2662587702
692	0.266212212
693	0.266159169
694	0.2661133329
695	0.2660745696
696	0.2660457124
697	0.2659979975
698	0.2659458282
699	0.2659056076
700	0.2658632811
701	0.2658191394
702	0.2657687865
703	0.2657321635
704	0.2656926793
